List ,Headword ,Related forms,Total frequency
19k,reive,"reive (0), reived (0), reiver (7), reivers (15), reives (1), reiving (10)",33
19k,rejig,"rejig (9), rejigged (5), rejigger (0), rejigging (5), rejigs (0)",19
19k,renin,renin (55),55
19k,rennet,rennet (14),14
19k,reticule,"reticule (11), reticules (2)",13
19k,revanche,"revanche (5), revanchism (4), revanchist (4)",13
19k,revetment,"revetment (6), revetments (4)",10
19k,rhea,"rhea (19), rheas (7)",26
19k,rhodium,rhodium (25),25
19k,rhombic,rhombic (28),28
19k,rhyolite,rhyolite (26),26
19k,ria,ria (29),29
19k,ribonucleic,ribonucleic (17),17
19k,robocop,robocop (59),59
19k,rondeau,rondeau (6),6
19k,ropey,ropey (21),21
19k,roquefort,roquefort (21),21
19k,rosea,rosea (28),28
19k,rotavirus,rotavirus (3),3
19k,rotenone,rotenone (1),1
19k,rubato,"rubato (15), rubatos (0)",15
19k,rugger,rugger (40),40
19k,rugosa,rugosa (18),18
19k,rumbustious,"rumbustious (35), rumbustiously (1), rumbustiousness (1)",37
19k,sabbatarian,"sabbatarian (10), sabbatarianism (12)",22
19k,sailplane,"sailplane (5), sailplanes (4)",9
19k,salsify,salsify (12),12
19k,saltation,"saltation (26), saltationism (1), saltations (9), saltative (1)",37
19k,sambo,sambo (23),23
19k,samizdat,samizdat (10),10
19k,sashimi,sashimi (1),1
19k,sateen,sateen (9),9
19k,satsuma,"satsuma (19), satsumas (16)",35
19k,saturnine,saturnine (14),14
19k,sawhorse,"sawhorse (0), sawhorses (0)",0
19k,scarper,"scarper (10), scarpered (22), scarpering (0), scarpers (2)",34
19k,scintilla,"scintilla (7), scintillas (2)",9
19k,scleroderma,scleroderma (7),7
19k,scram,"scram (15), scrammed (0), scramming (1), scrams (0)",16
19k,scrapper,"scrapper (8), scrappers (4)",12
19k,scrimshaw,scrimshaw (17),17
19k,scrivener,"scrivener (35), scriveners (5)",40
19k,scrofula,"scrofula (9), scrofulous (5)",14
19k,sculpin,"sculpin (2), sculpins (2)",4
19k,scutum,"scutum (11), scutums (1)",12
19k,seamer,"seamer (64), seamers (21)",85
19k,sensorineural,sensorineural (1),1
19k,sepal,"sepal (0), sepals (9)",9
19k,seraglio,"seraglio (24), seraglios (1)",25
19k,seraphim,"seraphim (12), seraphims (0)",12
19k,sere,sere (6),6
19k,serviette,"serviette (19), serviettes (11)",30
19k,shalom,shalom (5),5
19k,shambolic,shambolic (33),33
19k,sheepfold,"sheepfold (11), sheepfolds (5)",16
19k,shiksa,"shiksa (6), shiksas (4)",10
19k,shopaholic,"shopaholic (5), shopaholics (3)",8
19k,shul,shul (5),5
19k,shylock,"shylock (49), shylocks (0)",49
19k,sidewinder,"sidewinder (6), sidewinders (0)",6
19k,silverfish,silverfish (30),30
19k,simmental,"simmental (56), simmentals (4)",60
19k,simony,simony (11),11
19k,skirl,"skirl (7), skirled (3), skirling (6), skirls (1)",17
19k,skybox,"skybox (0), skyboxes (0)",0
19k,sloe,"sloe (19), sloes (7)",26
19k,snafu,"snafu (0), snafus (0)",0
19k,snit,snit (5),5
19k,sola,sola (22),22
19k,solecism,"solecism (11), solecisms (8), solecistic (0)",19
19k,spall,"spall (2), spallation (1), spallations (0), spalled (1), spalling (4), spalls (0)",8
19k,specifier,"specifier (12), specifiers (25)",37
19k,spectrophotometry,"spectrophotometry (13), spectrophotometric (6), spectrophotometrical (0), spectrophotometrically (8)",27
19k,specular,specular (14),14
19k,spick,"spick (25), spicks (0)",25
19k,spicule,"spicule (1), spicules (24)",25
19k,spinet,"spinet (8), spinets (8)",16
19k,spiv,"spiv (12), spivs (15), spivvy (8)",35
19k,sprat,"sprat (30), sprats (10)",40
19k,stanch,"stanch (1), stanched (0), stanches (0), stanching (0)",1
19k,standpipe,"standpipe (7), standpipes (7)",14
19k,steins,steins (12),12
19k,sternal,sternal (20),20
19k,sterol,"sterol (4), sterols (0)",4
19k,strake,"strake (3), strakes (2)",5
19k,streptococci,streptococci (6),6
19k,stripling,"stripling (7), striplings (3)",10
19k,stroganoff,stroganoff (14),14
19k,stroppy,"stroppy (37), stroppily (0), stroppiness (3)",40
19k,strumpet,"strumpet (14), strumpets (0)",14
19k,stupa,"stupa (12), stupas (0)",12
19k,styrene,styrene (24),24
19k,succubus,"succubus (5), succuba (3), succubi (1)",9
19k,suffragan,"suffragan (21), suffragans (12)",33
19k,sulfite,"sulfite (0), sulfites (0), sulphite (3), sulphites (4)",7
19k,sulphonamide,"sulphonamide (7), sulphonamides (27)",34
19k,sumptuary,sumptuary (16),16
19k,supercluster,"supercluster (1), superclusters (5)",6
19k,supercontinent,"supercontinent (9), supercontinents (3)",12
19k,supercritical,supercritical (16),16
19k,supergroup,"supergroup (14), supergroups (1)",15
19k,supermax,supermax (7),7
19k,superstardom,superstardom (2),2
19k,superstation,"superstation (4), superstations (1)",5
19k,supervene,"supervene (7), supervened (7), supervenes (7), supervening (11)",32
19k,supranationalism,supranationalism (32),32
19k,sura,"sura (15), suras (3)",18
19k,surcoat,"surcoat (10), surcoats (5)",15
19k,suttee,suttee (5),5
19k,swanning,"swanning (26), swanned (9)",35
19k,sylph,"sylph (11), sylphlike (2), sylphs (4)",17
19k,tabasco,tabasco (34),34
19k,tabla,"tabla (6), tablas (0)",6
19k,tachometer,"tachometer (5), tachometers (1)",6
19k,tachyon,"tachyon (3), tachyons (6)",9
19k,tagliatelle,tagliatelle (26),26
19k,taille,taille (32),32
19k,tailplane,tailplane (41),41
19k,tatami,tatami (4),4
19k,taurine,taurine (13),13
19k,technocracy,"technocracy (15), technocracies (0)",15
19k,teenybop,"teenybop (10), teenybopper (1), teenyboppers (5)",16
19k,telekinesis,"telekinesis (3), telekinetic (9)",12
19k,telemark,"telemark (2), telemarks (0)",2
19k,telepresence,telepresence (2),2
19k,tenterhooks,tenterhooks (23),23
19k,tephra,tephra (29),29
19k,terephthalate,"terephthalate (17), terephthalic (13)",30
19k,terrarium,"terrarium (2), terrariums (1)",3
19k,terrazzo,terrazzo (9),9
19k,tetrahedron,"tetrahedron (15), tetrahedra (1), tetrahedrons (1)",17
19k,tetras,tetras (87),87
19k,thermoluminescent,"thermoluminescent (2), thermoluminescence (23)",25
19k,thingamajig,"thingamajig (9), thingamajigs (2), thingumajig (3), thingumajigs (0)",14
19k,thymine,"thymine (14), thymines (1)",15
19k,thyroxine,"thyroxine (12), thyroxin (3)",15
19k,tiffin,"tiffin (8), tiffins (0)",8
19k,timbale,"timbale (7), timbales (1)",8
19k,tiramisu,tiramisu (4),4
19k,tocsin,tocsin (23),23
19k,tomatillo,"tomatillo (0), tomatillos (0)",0
19k,tombola,"tombola (54), tombolas (4)",58
19k,tomfoolery,tomfoolery (11),11
19k,tootle,"tootle (2), tootled (2), tootler (0), tootles (2), tootling (8)",14
19k,tootsie,"tootsie (8), tootsies (1)",9
19k,tope,"tope (8), toper (15), topers (2)",25
19k,tourmaline,tourmaline (13),13
19k,trabecular,trabecular (6),6
19k,trachoma,trachoma (4),4
19k,transferase,"transferase (51), transferrin (19)",70
19k,tranship,"tranship (0), transhipment (22), transhipments (1), transhipped (8), transhipping (0), tranships (0)",31
19k,transposon,"transposon (4), transposons (17)",21
19k,transshipment,transshipment (5),5
19k,trax,trax (38),38
19k,trebuchet,"trebuchet (6), trebuchets (2)",8
19k,tribology,"tribology (9), tribological (1), tribologist (0)",10
19k,triceratops,triceratops (11),11
19k,trike,"trike (14), trikes (5)",19
19k,trillium,"trillium (4), trilliums (0)",4
19k,trisomy,"trisomy (20), trisomies (1)",21
19k,trollop,"trollop (19), trollops (1)",20
19k,trop,trop (13),13
19k,tuberculin,tuberculin (15),15
19k,tuff,tuff (37),37
19k,tumescence,"tumescence (5), tumescent (4)",9
19k,tumulus,"tumulus (14), tumuli (11)",25
19k,tunny,"tunny (15), tunnies (1)",16
19k,turbofan,"turbofan (4), turbofans (1)",5
19k,turbojet,"turbojet (5), turbojets (5)",10
19k,tyrannosaur,"tyrannosaur (2), tyrannosaurs (1)",3
19k,ultramodern,ultramodern (4),4
19k,unction,unction (19),19
19k,unguent,"unguent (2), unguents (9)",11
19k,vacuole,"vacuole (13), vacuoles (12)",25
19k,vagotomy,"vagotomy (60), vagotomies (2)",62
19k,vasculature,vasculature (12),12
19k,vasculitis,vasculitis (14),14
19k,vasoactive,vasoactive (27),27
19k,vasoconstrictor,"vasoconstrictor (6), vasoconstrictors (2)",8
19k,vena,"vena (15), venae (1)",16
19k,venturesome,"venturesome (9), venturesomeness (0)",9
19k,verdure,verdure (14),14
19k,vernier,vernier (15),15
19k,vervet,"vervet (7), vervets (5)",12
19k,vibraphone,"vibraphone (8), vibraphones (0), vibraphonist (0), vibraphonists (0)",8
19k,videographer,"videographer (0), videographers (0), videography (0)",0
19k,vinca,"vinca (8), vincas (1)",9
19k,vins,vins (30),30
19k,vitis,vitis (14),14
19k,vitrify,"vitrify (3), vitrifiable (0), vitrification (5), vitrified (9), vitrifies (0), vitrifying (0)",17
19k,vitrine,"vitrine (2), vitrines (4)",6
19k,viviparous,"viviparous (13), viviparously (0)",13
19k,vivo,vivo (421),421
19k,vocative,"vocative (17), vocatively (1)",18
19k,voyageur,"voyageur (0), voyageurs (1)",1
19k,wahoo,"wahoo (4), wahoos (0)",4
19k,wampum,wampum (0),0
19k,weel,weel (19),19
19k,wherry,"wherry (26), wherries (1), wherrys (0)",27
19k,whicker,"whicker (20), whickered (6), whickering (5), whickers (1)",32
19k,whiffle,"whiffle (1), whiffled (1), whiffles (0), whiffling (9)",11
19k,whipsaw,"whipsaw (1), whipsawed (1), whipsawing (3)",5
19k,wildcard,"wildcard (10), wildcards (1)",11
19k,wiseguy,"wiseguy (0), wiseguys (1)",1
19k,withal,withal (14),14
19k,withe,"withe (21), withies (4), withy (6)",31
19k,wog,"wog (7), wogs (16)",23
19k,woofer,"woofer (10), woofers (5)",15
19k,xylene,xylene (17),17
19k,yawl,"yawl (11), yawls (2)",13
19k,yttrium,yttrium (19),19
19k,zemstvo,"zemstvo (18), zemstvos (31)",49
19k,zine,"zine (20), zines (0)",20
19k,zydeco,zydeco (5),5
20k,abaya,"abaya (9), abayas (1)",10
20k,abeam,abeam (16),16
20k,ablate,"ablate (4), ablated (8)",12
20k,abracadabra,abracadabra (12),12
20k,acetyl,acetyl (68),68
20k,acidophilus,acidophilus (3),3
20k,acromegaly,"acromegaly (17), acromegalia (0), acromegalic (1)",18
20k,acte,"acte (8), actes (9)",17
20k,actinic,actinic (10),10
20k,acupressure,acupressure (4),4
20k,acyl,acyl (32),32
20k,adamantine,adamantine (10),10
20k,adrenergic,"adrenergic (38), adrenergically (0)",38
20k,advertorial,"advertorial (14), advertorials (9)",23
20k,aerogramme,"aerogramme (1), aerogram (0), aerogrammes (16), aerograms (1)",18
20k,aflatoxin,"aflatoxin (2), aflatoxins (0)",2
20k,aitch,"aitch (15), aitches (13)",28
20k,alendronate,alendronate (0),0
20k,aleph,aleph (3),3
20k,alewife,"alewife (3), alewives (2)",5
20k,allegretto,"allegretto (32), allegrettos (2)",34
20k,allele,"allele (85), alleles (75), allelic (19)",179
20k,almoner,"almoner (12), almoners (1), almonry (3)",16
20k,alpina,alpina (29),29
20k,ambulant,ambulant (19),19
20k,ammonoid,"ammonoid (7), ammonoids (29)",36
20k,amphibole,"amphibole (10), amphiboles (3), amphibolite (8), amphibolites (0)",21
20k,amphotericin,amphotericin (5),5
20k,ampulla,"ampulla (12), ampullae (4)",16
20k,anadromous,anadromous (1),1
20k,analysand,"analysand (9), analysands (1)",10
20k,anas,anas (30),30
20k,ancova,"ancova (0), ancovas (0)",0
20k,anencephalic,"anencephalic (2), anencephaly (1)",3
20k,ani,ani (14),14
20k,anthocyanin,"anthocyanin (0), anthocyanins (1)",1
20k,anthropomorphize,"anthropomorphize (1), anthropomorphized (2), anthropomorphizing (1)",4
20k,anticline,"anticline (12), anticlines (4)",16
20k,antimacassar,"antimacassar (1), antimacassars (10)",11
20k,antineutrino,"antineutrino (7), antineutrinos (6)",13
20k,apiary,"apiary (5), apiaries (0), apiarist (2), apiarists (0)",7
20k,aplastic,aplastic (7),7
20k,appian,appian (20),20
20k,aquarist,"aquarist (21), aquarists (6)",27
20k,arabica,arabica (10),10
20k,archaism,"archaism (10), archaisms (4)",14
20k,archimandrite,"archimandrite (14), archimandrites (1)",15
20k,arcminute,"arcminute (1), arcminutes (0)",1
20k,armamentarium,armamentarium (6),6
20k,arquebus,"arquebus (79), arquebuses (5), arquebusier (0), arquebusiers (0), harquebus (0), harquebuses (1), harquebusier (1), harquebusiers (0)",86
20k,arteriography,arteriography (12),12
20k,aslant,aslant (10),10
20k,aspidistra,"aspidistra (23), aspidistras (2)",25
20k,astrocytes,astrocytes (9),9
20k,astrometric,"astrometric (1), astrometry (1)",2
20k,ataxia,"ataxia (7), ataxic (2)",9
20k,atheroma,"atheroma (21), atheromas (0), atheromata (0)",21
20k,atrazine,atrazine (11),11
20k,atresia,"atresia (7), atresias (1)",8
20k,attar,"attar (9), atar (7), athar (1)",17
20k,audiophile,"audiophile (1), audiophiles (1)",2
20k,auscultate,"auscultate (0), auscultated (1), auscultates (0), auscultating (0), auscultation (11)",12
20k,australopithecine,"australopithecine (0), australopithecines (5)",5
20k,autogenic,"autogenic (5), autogenics (1)",6
20k,autogyro,"autogyro (4), autogiro (5), autogiros (2), autogyros (2)",13
20k,axil,"axil (37), axils (4)",41
20k,axion,"axion (0), axions (1)",1
20k,azathioprine,azathioprine (20),20
20k,azide,azide (24),24
20k,badinage,badinage (18),18
20k,bafta,"bafta (54), baftas (0)",54
20k,bahian,bahian (1),1
20k,balderdash,balderdash (10),10
20k,ballsy,ballsy (4),4
20k,barberry,"barberry (4), barberries (0)",4
20k,barefaced,"barefaced (11), barefacedly (0)",11
20k,beanie,"beanie (0), beanies (0)",0
20k,beefeater,"beefeater (45), beefeaters (9)",54
20k,beignet,"beignet (0), beignets (2)",2
20k,beribboned,beribboned (6),6
20k,bestir,"bestir (7), bestired (0), bestirring (4), bestirs (0)",11
20k,billabong,"billabong (14), billabongs (2)",16
20k,binnacle,"binnacle (14), binnacles (0)",14
20k,bint,"bint (25), bints (1)",26
20k,bioaerosol,"bioaerosol (0), bioaerosols (0)",0
20k,bioassay,"bioassay (5), bioassays (1)",6
20k,biobased,biobased (0),0
20k,biohazard,"biohazard (1), biohazards (0)",1
20k,biomedicine,biomedicine (2),2
20k,biomorphic,biomorphic (8),8
20k,bioprospecting,bioprospecting (0),0
20k,bioreactor,"bioreactor (2), bioreactors (3)",5
20k,biotype,"biotype (6), biotypes (3)",9
20k,bioweapon,"bioweapon (0), bioweapons (0)",0
20k,birefringence,"birefringence (7), birefringent (3)",10
20k,blackleg,"blackleg (13), blacklegs (21)",34
20k,blat,"blat (2), blatter (8), blatting (2)",12
20k,blaxploitation,blaxploitation (6),6
20k,blini,"blini (0), blinis (4)",4
20k,bobwhite,"bobwhite (2), bobwhites (0)",2
20k,boche,"boche (12), boches (3)",15
20k,boing,"boing (23), boings (2)",25
20k,bola,"bola (19), bolas (12), bolases (0)",31
20k,bonheur,bonheur (14),14
20k,booger,"booger (1), boogers (0)",1
20k,boondocks,boondocks (2),2
20k,borate,borate (10),10
20k,boric,boric (6),6
20k,bosh,bosh (13),13
20k,bowerbird,"bowerbird (6), bowerbirds (6)",12
20k,bradycardia,bradycardia (16),16
20k,braze,"braze (0), brazed (3), brazes (0), brazing (2)",5
20k,breathalyzer,"breathalyzer (1), breathalyzers (0)",1
20k,breccia,breccia (12),12
20k,breviary,"breviary (11), breviaries (0)",11
20k,bruschetta,"bruschetta (0), bruschettas (0)",0
20k,budgerigar,"budgerigar (27), budgerigars (8)",35
20k,bullfinch,"bullfinch (13), bullfinches (6)",19
20k,bullhead,"bullhead (7), bullheads (3)",10
20k,buprenorphine,buprenorphine (2),2
20k,burqa,"burqa (0), burqas (0)",0
20k,butadiene,butadiene (10),10
20k,byelection,"byelection (20), byelections (1)",21
20k,caballero,caballero (30),30
20k,cahier,"cahier (1), cahiers (14)",15
20k,caiman,"caiman (3), caimans (0)",3
20k,caldron,"caldron (1), caldrons (0)",1
20k,canasta,canasta (5),5
20k,cannoli,"cannoli (0), cannolis (0)",0
20k,cannulation,cannulation (18),18
20k,cantus,cantus (22),22
20k,capitular,"capitular (5), capitularies (15), capitulary (5)",25
20k,capsicum,"capsicum (4), capsicums (5)",9
20k,carbonara,carbonara (9),9
20k,carbonyl,"carbonyl (23), carbonyls (7)",30
20k,carborundum,carborundum (24),24
20k,cardy,"cardy (17), cardies (2)",19
20k,carpaccio,carpaccio (6),6
20k,catafalque,"catafalque (8), catafalques (2)",10
20k,catechin,"catechin (3), catechins (0)",3
20k,catechumen,"catechumen (1), catechumens (7)",8
20k,cathexis,"cathexis (10), cathexes (1)",11
20k,cathodic,cathodic (7),7
20k,caudillo,"caudillo (22), caudillos (1)",23
20k,caul,caul (10),10
20k,cavitation,cavitation (4),4
20k,cella,cella (29),29
20k,centime,"centime (2), centimes (6)",8
20k,cento,cento (45),45
20k,centrale,centrale (37),37
20k,centroid,centroid (13),13
20k,cephalosporin,"cephalosporin (4), cephalosporins (2)",6
20k,cerebrum,"cerebrum (6), cerebra (0), cerebrums (0)",6
20k,ceviche,ceviche (4),4
20k,chaffing,chaffing (17),17
20k,challah,challah (0),0
20k,chapeau,chapeau (7),7
20k,charabanc,"charabanc (22), charabancs (16)",38
20k,charwoman,"charwoman (12), charwomen (5)",17
20k,chiastic,chiastic (2),2
20k,chicane,"chicane (22), chicanes (12)",34
20k,chicha,chicha (3),3
20k,chiton,"chiton (8), chitons (5)",13
20k,chlordane,chlordane (2),2
20k,chocoholic,"chocoholic (3), chocoholics (5)",8
20k,chondrule,"chondrule (0), chondrules (4)",4
20k,chorea,chorea (16),16
20k,chromosphere,chromosphere (4),4
20k,chthonic,"chthonic (7), chthonian (1)",8
20k,chukar,"chukar (7), chukars (0)",7
20k,chukka,"chukka (17), chukkas (8)",25
20k,cinchona,cinchona (16),16
20k,clangour,"clangour (6), clangor (0), clangorous (3), clangourous (0)",9
20k,clavier,"clavier (14), clavierist (0)",14
20k,clonk,"clonk (12), clonked (1), clonking (3), clonks (3)",19
20k,coagulopathy,coagulopathy (18),18
20k,cockade,"cockade (13), cockaded (3), cockades (2)",18
20k,codfish,codfish (2),2
20k,cogito,cogito (15),15
20k,coir,coir (27),27
20k,colophon,"colophon (12), colophons (0)",12
20k,comital,comital (37),37
20k,commensurable,"commensurable (3), commensurability (1)",4
20k,compo,"compo (20), compos (8)",28
20k,concerti,concerti (18),18
20k,coneflower,"coneflower (1), coneflowers (0)",1
20k,confab,"confab (3), confabs (1)",4
20k,confute,"confute (2), confutation (3), confutations (0), confuted (4), confuter (0), confutes (3), confuting (0)",12
20k,congener,"congener (1), congeners (7)",8
20k,conger,"conger (30), congers (2)",32
20k,conodont,"conodont (11), conodonts (20)",31
20k,consomme,consomme (2),2
20k,copyhold,"copyhold (20), copyholds (6)",26
20k,cordage,cordage (7),7
20k,coruscate,"coruscate (0), coruscated (1), coruscates (0), coruscating (5), coruscation (0), coruscations (1)",7
20k,coryza,coryza (26),26
20k,costal,costal (14),14
20k,cotoneaster,"cotoneaster (9), cotoneasters (1)",10
20k,cottontail,"cottontail (2), cottontails (0)",2
20k,coulee,"coulee (1), coulees (0)",1
20k,counterfoil,"counterfoil (17), counterfoils (10)",27
20k,counterpoise,counterpoise (12),12
20k,cours,cours (20),20
20k,cowlick,"cowlick (2), cowlicks (0)",2
20k,cowpoke,"cowpoke (4), cowpokes (1)",5
20k,coypu,"coypu (28), coypus (2)",30
20k,crackhead,"crackhead (1), crackheads (0)",1
20k,craton,"craton (8), cratonic (7), cratons (5)",20
20k,credenza,credenza (0),0
20k,cribbage,cribbage (8),8
20k,croton,"croton (15), crotons (2)",17
20k,crucifer,"crucifer (2), cruciferous (1)",3
20k,cruet,"cruet (10), cruets (4)",14
20k,crypto,crypto (20),20
20k,cryptogram,"cryptogram (4), cryptograms (2)",6
20k,cuirass,cuirass (10),10
20k,cupidity,cupidity (11),11
20k,curandero,"curandero (2), curanderos (0)",2
20k,cyanosis,cyanosis (13),13
20k,cytosol,"cytosol (16), cytosolic (19)",35
20k,dactyl,"dactyl (1), dactylic (6), dactyls (1)",8
20k,dago,"dago (7), dagoes (1), dagos (1)",9
20k,daikon,daikon (1),1
20k,damselfly,"damselfly (6), damselflies (4)",10
20k,dandle,"dandle (3), dandled (5), dandles (1), dandling (2)",11
20k,deadlift,"deadlift (3), deadlifts (0)",3
20k,debouch,"debouch (2), debouched (5), debouches (3), debouching (3), debouchment (1), debouchments (0)",14
20k,decalogue,decalogue (6),6
20k,decidendi,decidendi (27),27
20k,declension,"declension (4), declensions (2)",6
20k,demotivate,"demotivate (3), demotivated (6), demotivates (1), demotivating (8)",18
20k,demyelinate,"demyelinate (0), demyelinated (0), demyelinates (0), demyelinating (2), demyelination (6)",8
20k,denotative,denotative (4),4
20k,depilatory,"depilatory (8), depilatories (3)",11
20k,deponent,"deponent (14), deponents (1)",15
20k,derridean,derridean (7),7
20k,descant,descant (11),11
20k,descry,"descry (3), descried (7), descries (1), descrying (0)",11
20k,dhoti,"dhoti (6), dhotis (1)",7
20k,diamante,diamante (20),20
20k,diathermy,"diathermy (13), diathermic (0)",13
20k,diatomic,diatomic (16),16
20k,diegetic,diegetic (2),2
20k,dihedral,dihedral (22),22
20k,dillydally,"dillydally (0), dillydallying (1)",1
20k,diluent,diluent (15),15
20k,dinero,dinero (3),3
20k,dingbat,"dingbat (6), dingbats (5)",11
20k,diorite,diorite (12),12
20k,disarrange,"disarrange (1), disarranged (8), disarrangement (2), disarranges (0), disarranging (0)",11
20k,disport,"disport (3), disported (2), disporting (8), disports (0)",13
20k,dodgem,"dodgem (12), dodgems (24)",36
20k,dojo,"dojo (5), dojos (1)",6
20k,domo,"domo (19), domos (3)",22
20k,doodad,"doodad (2), doodads (0)",2
20k,doozy,doozy (1),1
20k,dopaminergic,"dopaminergic (7), dopaminergically (0)",7
20k,dopant,"dopant (6), dopants (3)",9
20k,dorsiflexion,dorsiflexion (0),0
20k,dragster,"dragster (1), dragsters (0)",1
20k,dreck,dreck (5),5
20k,drogue,drogue (10),10
20k,dromedary,"dromedary (8), dromedaries (1)",9
20k,dropsy,dropsy (12),12
20k,drumlin,"drumlin (2), drumlins (7)",9
20k,duiker,"duiker (18), duikers (2)",20
20k,durum,durum (8),8
20k,dweeb,"dweeb (3), dweebs (2)",5
20k,dynamometer,"dynamometer (2), dynamometers (2)",4
20k,dysphoria,"dysphoria (2), dysphoric (0)",2
20k,ecclesia,"ecclesia (18), ecclesias (1)",19
20k,echocardiogram,"echocardiogram (2), echocardiograms (1)",3
20k,eclogue,"eclogue (6), eclogues (2)",8
20k,ecosphere,ecosphere (10),10
20k,ecru,ecru (10),10
20k,ectoderm,"ectoderm (14), ectodermic (0)",14
20k,edelweiss,edelweiss (9),9
20k,edenic,edenic (3),3
20k,educe,"educe (3), educed (2), educes (0), educible (0), educing (0), eduction (2)",7
20k,edutainment,edutainment (6),6
20k,eelgrass,eelgrass (2),2
20k,effulgent,"effulgent (6), effulgence (3), effulgently (0)",9
20k,eland,"eland (10), elands (1)",11
20k,elastase,elastase (16),16
20k,electrocautery,electrocautery (2),2
20k,elver,"elver (10), elvers (15)",25
20k,embouchure,"embouchure (3), embouchures (1)",4
20k,embryonal,embryonal (14),14
20k,empanada,"empanada (0), empanadas (1)",1
20k,empiric,empiric (4),4
20k,emptor,emptor (34),34
20k,endoderm,endoderm (18),18
20k,enterotoxin,"enterotoxin (11), enterotoxins (5)",16
20k,ephedra,ephedra (1),1
20k,episiotomy,"episiotomy (3), episiotomies (5)",8
20k,epitaxy,"epitaxy (2), epitaxial (5), epitaxially (1)",8
20k,epoxide,"epoxide (24), epoxides (1)",25
20k,ergometer,"ergometer (1), ergometers (0)",1
20k,erythropoietin,erythropoietin (9),9
20k,escarole,escarole (1),1
20k,escheat,"escheat (8), escheated (6), escheating (0), escheator (7), escheators (1), escheats (1)",23
20k,estoppal,"estoppal (0), estopped (28)",28
20k,estradiol,estradiol (1),1
20k,ethnomethodology,"ethnomethodology (23), ethnomethodologist (2)",25
20k,etoile,"etoile (20), étoile (0)",20
20k,euphony,"euphony (17), euphonic (0), euphonically (0), euphonies (0)",17
20k,eutectic,eutectic (18),18
20k,eventide,eventide (12),12
20k,exciton,"exciton (0), excitons (0)",0
20k,execrate,"execrate (2), execrated (4), execration (3), execrations (3)",12
20k,exempla,exempla (7),7
20k,exemplum,exemplum (7),7
20k,extralinguistic,extralinguistic (14),14
20k,factitious,"factitious (8), factitiously (0), factitiousness (0)",8
20k,fado,"fado (7), fados (4)",11
20k,fascicle,"fascicle (4), fascicled (0), fascicles (4)",8
20k,feck,"feck (1), fecking (3)",4
20k,federative,federative (13),13
20k,fellahin,"fellahin (9), fellaheen (0)",9
20k,fetlock,"fetlock (6), fetlocks (11)",17
20k,firma,firma (19),19
20k,fleshpot,"fleshpot (1), fleshpots (11)",12
20k,fletch,"fletch (10), fletched (5)",15
20k,flexi,flexi (49),49
20k,flic,"flic (19), flics (8)",27
20k,fluorosis,fluorosis (7),7
20k,folle,"folle (4), folles (4)",8
20k,foraminifers,"foraminifers (4), foraminifera (12)",16
20k,foreland,"foreland (35), forelands (0)",35
20k,fortis,fortis (11),11
20k,freeboard,freeboard (9),9
20k,fricassee,"fricassee (5), fricasseed (0), fricasseeing (0)",5
20k,frittata,"frittata (0), frittatas (0)",0
20k,frizzle,"frizzle (3), frizzled (6), frizzles (0), frizzling (0)",9
20k,fron,"fron (10), frons (6)",16
20k,fug,"fug (23), fuggier (1), fuggiest (0), fuggy (1)",25
20k,fumigant,"fumigant (6), fumigants (1)",7
20k,fusilli,fusilli (4),4
20k,galette,"galette (5), galettes (3)",8
20k,galleria,galleria (43),43
20k,gametophyte,"gametophyte (0), gametophytes (0)",0
20k,gamine,gamine (10),10
20k,ganja,ganja (8),8
20k,gantlet,gantlet (1),1
20k,gasohol,gasohol (6),6
20k,gat,gat (18),18
20k,gavotte,"gavotte (12), gavottes (4)",16
20k,gazillion,"gazillion (0), gazillions (0)",0
20k,geocentric,"geocentric (7), geocentrically (0), geocentrism (0)",7
20k,geometer,"geometer (7), geometers (7)",14
20k,geosynchronous,geosynchronous (3),3
20k,gerbera,"gerbera (4), gerberas (5)",9
20k,gerontocracy,"gerontocracy (7), gerontocracies (0), gerontocrat (0), gerontocratic (3), gerontocrats (0)",10
20k,gewgaw,"gewgaw (1), gewgaws (8)",9
20k,ghat,"ghat (2), ghats (4)",6
20k,ghostwriter,"ghostwriter (2), ghostwriters (0), ghostwrite (0), ghostwritten (0), ghostwrote (0)",2
20k,gillie,"gillie (29), gillies (37)",66
20k,gimcrack,"gimcrack (20), gimcrackery (0)",20
20k,ginormous,ginormous (18),18
20k,glebe,"glebe (47), glebes (3)",50
20k,glioblastoma,"glioblastoma (3), glioblastomas (1)",4
20k,glioma,"glioma (4), gliomas (2)",6
20k,globin,globin (34),34
20k,glockenspiel,"glockenspiel (20), glockenspiels (2)",22
20k,glop,"glop (1), gloppy (0), glops (2)",3
20k,glucosamine,glucosamine (4),4
20k,glutaraldehyde,glutaraldehyde (26),26
20k,gluteal,"gluteal (2), gluteals (0)",2
20k,glycemic,glycemic (0),0
20k,glyphosate,glyphosate (7),7
20k,gobbledegook,gobbledegook (25),25
20k,godwit,"godwit (15), godwits (9)",24
20k,goliath,"goliath (57), goliaths (7)",64
20k,gonadotropin,"gonadotropin (7), gonadotropins (6)",13
20k,goniometer,"goniometer (2), goniometers (2)",4
20k,goober,"goober (2), goobers (0)",2
20k,goofball,"goofball (0), goofballs (0)",0
